HIGH,LOW,CLOSE
489.9,488.3,488.35
489.7,487.9,489.55
489.8,487.8,488
488.35,487.75,487.8
488.1,487.55,487.7
488.75,487.6,488.1
488.45,487.65,488.3
488.55,488.1,488.35
488.4,487.8,487.8
488,487.2,487.4
487.5,486.6,486.75
487.8,486.35,487.5
487.6,486.8,487.45
487.65,487,487.3
487.65,487.15,487.4
487.9,487.25,487.3
487.6,486.1,487.4
488.25,487.35,487.8
488,487.5,488
488.1,487.65,487.95
488.15,487.7,488.1
488.15,487.7,487.9
488.8,487.55,488.3
488.55,488.1,488.3
488.4,487.85,487.95
488.4,487.55,487.7
488.4,487.1,487.25
487.9,487.1,487.55
487.7,487.3,487.4
487.65,487.3,487.6
487.6,486.65,486.95
487.25,486.5,487.1
487.1,485.8,485.8
486,485.55,485.95
486,485.65,485.9
486,485.6,485.9
486,485.75,485.8
486,485.75,485.95
486,485.15,485.85
487.15,485.9,487.15
487.35,486.15,486.75
487.35,486.5,486.95
487.25,486.9,487.1
487.5,487.05,487.1
487.5,487.05,487.3
487.5,486.55,486.95
487.2,486.75,487.05
487.2,486.5,486.8
486.85,486.15,486.55
486.55,485.85,486.05
486.7,486.1,486.35
486.9,486.1,486.65
487.5,486.6,487.25
487.3,486.7,486.85
486.9,486.15,486.25
486.4,486,486.4
486.55,485.7,485.95
486.1,485.5,485.85
485.85,485.5,485.65
486.2,485.5,486
486.2,485.6,485.9
486.45,485.8,486.45
486.5,485.5,485.55
486.2,485.25,486.15
486.35,485.7,485.8
486.9,485.7,486.85
487.5,486.5,486.75
486.8,486.2,486.3
486.95,486.25,486.75
488.15,486.7,488.1
489.8,487.9,489.35
489.9,488.9,489.5
489.75,488.4,488.65
488.7,487.55,487.55
488.95,487.5,488.45
